iso_code,continent,population,location,median_age,classification,Overall_score,group,first_case,duration,status
ITA,Europe,59037472.0,Italy,47.9,HIGH-INCOME,7.69,Flawed democracy,2020-01-05,302,True
JAM,North America,2827382.0,Jamaica,31.4,UPPER-MIDDLE-INCOME,7.06,Flawed democracy,2020-03-15,666,True
JEY,Europe,110796.0,Jersey,39.9,LOW-INCOME,7.98,Flawed democracy,2020-03-15,267,True
JOR,Asia,11285875.0,Jordan,23.2,LOWER-MIDDLE INCOME,3.04,Authoritarian,2020-03-08,239,True
JPN,Asia,123951696.0,Japan,48.2,HIGH-INCOME,8.4,Full democracy,2020-01-05,750,True
KAZ,Asia,19397998.0,Kazakhstan,30.6,UPPER-MIDDLE-INCOME,3.08,Authoritarian,2020-03-15,491,True
KEN,Africa,54027484.0,Kenya,20.0,LOWER-MIDDLE INCOME,5.05,Hybrid regime,2020-03-15,1527,False
KGZ,Asia,6630621.0,Kyrgyzstan,26.3,LOWER-MIDDLE INCOME,3.7,Authoritarian,2020-01-05,1597,False
KHM,Asia,16767851.0,Cambodia,25.6,LOWER-MIDDLE INCOME,3.05,Authoritarian,2020-01-05,1597,False
KIR,Oceania,131237.0,Kiribati,23.2,LOWER-MIDDLE INCOME,6.62,Flawed democracy,2022-01-23,8,True
KNA,North America,47681.0,Saint Kitts and Nevis,34.3,HIGH-INCOME,9.0,Full democracy,2020-03-29,449,True
KOR,Asia,51815808.0,South Korea,43.4,HIGH-INCOME,8.09,Full democracy,2020-01-19,743,True
KWT,Asia,4268886.0,Kuwait,33.7,HIGH-INCOME,3.5,Authoritarian,2020-03-01,372,True
LAO,Asia,7529477.0,Laos,24.4,LOWER-MIDDLE INCOME,1.71,Authoritarian,2020-03-29,729,True
LBN,Asia,5489744.0,Lebanon,31.1,HIGH-INCOME,3.56,Authoritarian,2020-02-23,253,True
LBR,Africa,5302690.0,Liberia,19.2,LOW-INCOME,5.57,Hybrid regime,2020-03-22,1520,False
LBY,Africa,6812344.0,Libya,29.0,UPPER-MIDDLE-INCOME,1.78,Authoritarian,2020-03-29,477,True
LCA,North America,179872.0,Saint Lucia,34.9,UPPER-MIDDLE-INCOME,4.23,Hybrid regime,2020-03-15,323,True
LIE,Europe,39355.0,Liechtenstein,43.9,HIGH-INCOME,6.17,Flawed democracy,2020-03-08,225,True
LKA,Asia,21832150.0,Sri Lanka,34.1,LOWER-MIDDLE INCOME,6.17,Flawed democracy,2020-02-02,575,True
LSO,Africa,2305826.0,Lesotho,22.2,LOWER-MIDDLE INCOME,6.06,Flawed democracy,2020-05-17,1464,False
LTU,Europe,2750058.0,Lithuania,43.5,HIGH-INCOME,7.31,Flawed democracy,2020-03-22,225,True
LUX,Europe,647601.0,Luxembourg,39.7,HIGH-INCOME,8.81,Full democracy,2020-03-01,239,True
LVA,Europe,1850654.0,Latvia,43.9,HIGH-INCOME,7.38,Flawed democracy,2020-03-08,267,True
MAF,North America,31816.0,Saint Martin (French part),38.5,HIGH-INCOME,7.98,Flawed democracy,2020-03-08,162,True
MAR,Africa,37457976.0,Morocco,29.6,LOWER-MIDDLE INCOME,5.04,Hybrid regime,2020-03-08,1534,False
MCO,Europe,36491.0,Monaco,54.4,HIGH-INCOME,7.64,Flawed democracy,2020-01-05,351,True
MDA,Europe,3272993.0,Moldova,37.6,UPPER-MIDDLE-INCOME,6.23,Flawed democracy,2020-03-08,218,True
MDG,Africa,29611718.0,Madagascar,19.6,LOW-INCOME,5.26,Hybrid regime,2020-03-22,1520,False
MDV,Asia,523798.0,Maldives,30.6,UPPER-MIDDLE-INCOME,3.01,Authoritarian,2020-03-08,169,True
MEX,North America,127504120.0,Mexico,29.3,UPPER-MIDDLE-INCOME,5.14,Hybrid regime,2020-01-01,747,True
MHL,Oceania,41593.0,Marshall Islands,25.11,UPPER-MIDDLE-INCOME,7.64,Flawed democracy,2020-11-01,652,True
MKD,Europe,2093606.0,North Macedonia,39.1,UPPER-MIDDLE-INCOME,6.03,Flawed democracy,2020-03-01,246,True
MLI,Africa,22593598.0,Mali,16.4,LOW-INCOME,2.58,Authoritarian,2020-03-29,1513,False
MLT,Europe,533293.0,Malta,42.4,HIGH-INCOME,7.93,Flawed democracy,2020-03-08,309,True
MMR,Asia,54179312.0,Myanmar,29.1,LOWER-MIDDLE INCOME,0.85,Authoritarian,2020-01-05,1597,False
MNE,Europe,627082.0,Montenegro,39.1,UPPER-MIDDLE-INCOME,6.67,Flawed democracy,2020-05-03,134,True
MNG,Asia,3398373.0,Mongolia,28.6,LOWER-MIDDLE INCOME,6.48,Flawed democracy,2020-01-05,470,True
MNP,Oceania,49574.0,Northern Mariana Islands,38.5,HIGH-INCOME,9.3,Full democracy,2020-04-05,603,True
MOZ,Africa,32969520.0,Mozambique,17.7,LOW-INCOME,3.51,Authoritarian,2020-03-29,1513,False
MRT,Africa,4736146.0,Mauritania,20.3,LOWER-MIDDLE INCOME,4.14,Hybrid regime,2020-03-15,1527,False
MSR,North America,4413.0,Montserrat,43.2,LOW-INCOME,4.14,Hybrid regime,2020-03-22,659,True
MTQ,North America,367512.0,Martinique,45.7,LOW-INCOME,9.3,Full democracy,2020-03-08,239,True
MUS,Africa,1299478.0,Mauritius,37.4,UPPER-MIDDLE-INCOME,8.14,Full democracy,2020-03-22,526,True
MWI,Africa,20405318.0,Malawi,18.1,LOW-INCOME,5.85,Hybrid regime,2020-04-05,1506,False
MYS,Asia,33938216.0,Malaysia,29.9,UPPER-MIDDLE-INCOME,7.29,Flawed democracy,2020-01-26,540,True
MYT,Africa,326113.0,Mayotte,20.1,UPPER-MIDDLE-INCOME,9.81,Full democracy,2020-03-15,316,True
NAM,Africa,2567024.0,Namibia,22.0,UPPER-MIDDLE-INCOME,6.52,Flawed democracy,2020-03-15,456,True
NCL,Oceania,289959.0,New Caledonia,33.4,HIGH-INCOME,7.38,Flawed democracy,2020-03-22,540,True
NER,Africa,26207982.0,Niger,15.1,LOW-INCOME,2.37,Authoritarian,2020-03-22,1520,False
NGA,Africa,218541216.0,Nigeria,18.1,LOWER-MIDDLE INCOME,4.23,Hybrid regime,2020-03-01,1541,False
NIC,North America,6948395.0,Nicaragua,27.3,LOWER-MIDDLE INCOME,2.26,Authoritarian,2020-01-05,1597,False
NIU,Oceania,1952.0,Niue,35.9,LOW-INCOME,5.41,Hybrid regime,2022-03-13,15,True
NLD,Europe,17564020.0,Netherlands,43.2,HIGH-INCOME,9.0,Full democracy,2020-03-01,225,True
NOR,Europe,5434324.0,Norway,39.7,HIGH-INCOME,9.81,Full democracy,2020-02-23,561,True
NPL,Asia,30547586.0,Nepal,25.0,LOWER-MIDDLE INCOME,4.6,Hybrid regime,2020-01-05,491,True
NRU,Oceania,12691.0,Nauru,20.2,HIGH-INCOME,2.22,Authoritarian,2022-04-03,78,True
NZL,Oceania,5185289.0,New Zealand,37.9,HIGH-INCOME,9.61,Full democracy,2020-03-01,722,True
OMN,Asia,4576300.0,Oman,30.7,HIGH-INCOME,3.12,Authoritarian,2020-03-01,120,True
OWID_KOS,Europe,1782115.0,Kosovo,30.9,UPPER-MIDDLE-INCOME,9.14,Full democracy,2020-03-15,239,True
PAK,Asia,235824864.0,Pakistan,23.5,LOWER-MIDDLE INCOME,3.25,Authoritarian,2020-03-01,1541,False
PAN,North America,4408582.0,Panama,29.7,HIGH-INCOME,6.91,Flawed democracy,2020-03-15,127,True
PCN,Oceania,47.0,Pitcairn,38.9,HIGH-INCOME,1.94,Authoritarian,2022-07-24,1,True
PER,South America,34049588.0,Peru,29.1,UPPER-MIDDLE-INCOME,5.81,Hybrid regime,2020-03-08,169,True
PHL,Asia,115559008.0,Philippines,25.2,LOWER-MIDDLE INCOME,6.66,Flawed democracy,2020-01-05,743,True
